%Codos_1_doble cara_tres dielectricos_G=2.4_Lx=8.5_Ly=8.5 2CISA L=5x5v2.txt -> Nombre del fichero original
%Parameters = {LONGY=1; D=10; G=2.4; Lhx=4; Lhy=0.5; Lvx=1; Lvy=3; Lx=8.5; Ly=8.5; W=1; g_Cu=0.035; phi=0; sep=0.035; theta=0}
%"Frequency / GHz"	"SZmax(1),Zmin(1) (8) [Mag]"	"SZmax(1),Zmin(1) (8) [Pha in deg.]"
%-----------------------------------------------------------------------------------
2.0800000000000	0.80302805564111	-90.787595594652
2.1000000000000	0.80085439503055	-91.549772146847
2.1200000000000	0.79869436016631	-92.310102989432
2.1400000000000	0.79654817497823	-93.068606996430
2.1600000000000	0.79441605440038	-93.825303148339
2.1800000000000	0.79229820459459	-94.580210523065
2.2000000000000	0.79019482317258	-95.333348287182
2.2200000000000	0.78810609941631	-96.084735687537
2.2400000000000	0.78603221449642	-96.834392043172
2.2600000000000	0.78397334168869	-97.582336737573
2.2800000000000	0.78192964658820	-98.328589211231
2.3000000000000	0.77990128732126	-99.073168954518
2.3200000000000	0.77788841475473	-99.816095500854
2.3400000000000	0.77589117270279	-100.55738842018
2.3600000000000	0.77390969813106	-101.29706731271
2.3800000000000	0.77194412135784	-102.03515180299
2.4000000000000	0.76999456625252	-102.77166153421
